cn,pinyin,vocabulary,pinyin_vocab,th,id1,sentence_test,translate
跑,pǎo,跑步," pǎo bù ",วิ่ง,239,我每天早上跑步。,ฉันวิ่งทุกเช้า
步,bù,散步," sàn bù ",เดินเล่น,240,晚饭后一起散步。,หลังอาหารเย็นไปเดินเล่นด้วยกัน
唱,chàng,唱歌," chàng gē ",ร้องเพลง,241,妹妹喜欢唱歌。,น้องสาวชอบร้องเพลง
歌,gē,歌声," gē shēng ",เสียงเพลง,242,歌声很好听。,เสียงเพลงไพเราะมาก
跳,tiào,跳水," tiào shuǐ ",กระโดดน้ำ,243,哥哥在游泳池跳水。,พี่ชายกระโดดน้ำในสระว่ายน้ำ
舞,wǔ,舞狮," wǔ shī ",เชิดสิงโต,244,春节有舞狮表演。,ช่วงตรุษจีนมีการแสดงเชิดสิงโต
吹,chuī,吹喇叭," chuī lǎ bā ",เป่าแตร,245,他在吹喇叭。,เขากำลังเป่าแตร
号,hào,小号," xiǎo hào ",ทรัมเป็ต,246,哥哥会吹小号。,พี่ชายเป่าแตรเล็กได้
讲,jiǎng,讲话," jiǎng huà ",พูด,247,老师正在讲话。,ครูกำลังพูด
故,gù,故事," gù shì ",นิทาน,248,妈妈给我讲故事。,แม่เล่าเรื่องให้ฉันฟัง
事,shì,事情," shì qíng ",เรื่องราว,249,这件事情很重要。,เรื่องนี้สำคัญมาก
怎,zěn,怎么办," zěn me bàn ",ทำยังไง,250,下雨了怎么办？,ฝนตกแล้วจะทำอย่างไรดี
帮,bāng,帮助," bāng zhù ",ช่วย,251,朋友会帮助我。,เพื่อนจะช่วยฉัน
找,zhǎo,找到," zhǎo dào ",หาเจอ,252,我找到我的书了。,ฉันหาเจอหนังสือของฉันแล้ว
欢,huān,欢乐," huān lè ",ความสุข / สนุกสนาน,253,操场充满欢乐。,สนามเต็มไปด้วยความสนุกสนาน
担,dān,担心," dān xīn ",กังวล,254,妈妈担心我。,แม่เป็นห่วงฉัน
闷,mèn,苦闷," kǔ mèn ",หดหู่ / อึดอัด,255,下雨天让我苦闷。,วันฝนตกทำให้ฉันรู้สึกอึดอัด
急,jí,着急," zháo jí ",รีบเร่ง / กระวนกระวาย,256,找不到书很着急。,หาหนังสือไม่เจอทำให้ร้อนใจมาก
害,hài,害虫," hài chóng ",แมลงศัตรูพืช,257,农田里有害虫。,ในนามีแมลงศัตรูพืช
怕,pà,害怕," hài pà ",กลัว,258,孩子一个人会害怕。,เด็กอยู่คนเดียวจะรู้สึกกลัว
惊,jīng,吃惊," chī jīng ",ตกใจ,259,我听到消息很吃惊。,ฉันได้ยินข่าวแล้วตกใจมาก
哈,hā,笑哈哈," xiào hā hā",หัวเราะเสียงดัง,260,孩子们笑哈哈。,เด็ก ๆ หัวเราะอย่างสนุกสนาน
老,lǎo,老人,"lǎo rén ",คนแก่,261,老人坐在公园里。,คนชรานั่งอยู่ในสวนสาธารณะ
师,shī,老师," lǎo shī ",ครู / อาจารย์,262,老师教我们写字。,ครูสอนพวกเราเขียนหนังสือ
同,tóng,同学," tóng xué ",เพื่อนร่วมชั้น,263,同学们一起学习。,เพื่อนร่วมชั้นเรียนด้วยกัน
学,xué,学会," xué huì ",เรียนรู้,264,我学会写汉字了。,ฉันเรียนรู้การเขียนอักษรจีนแล้ว
校,xiào,学校," xué xiào ",โรงเรียน,265,我每天去学校。,ฉันไปโรงเรียนทุกวัน
桌,zhuō,桌子," zhuō zǐ ",โต๊ะ,266,书放在桌子上。,หนังสือวางอยู่บนโต๊ะ
椅,yǐ,椅子," yǐ zǐ ",เก้าอี้,267,椅子摆得很整齐。,เก้าอี้จัดวางอย่างเป็นระเบียบ
教,jiào,教导," jiào dǎo ",สั่งสอน / แนะนำ,268,老师认真教导学生。,ครูสอนนักเรียนอย่างตั้งใจ
室,shì,室内," shì nèi ",ในห้อง / ภายใน,269,下雨天在室内玩。,วันฝนตกเล่นอยู่ในอาคาร
课,kè,上课," shàng kè ",เข้าเรียน / เริ่มเรียน,270,我们准时上课。,พวกเราเข้าเรียนตรงเวลา
做,zuò,做梦," zuò mèng ",ฝัน,271,我晚上会做梦。,ตอนกลางคืนฉันจะฝัน
给,gěi,送给," sòng gěi ",มอบให้ / ส่งให้,272,这本书送给你。,หนังสือเล่มนี้ให้คุณ
操,cāo,早操," zǎo cāo ",ออกกำลังกายตอนเช้า,273,我们每天做早操。,พวกเราออกกำลังกายตอนเช้าทุกวัน
伸,shēn,伸长," shēn cháng ",ยืดออก / ขยาย,274,他把手臂伸长。,เขาเหยียดแขนยาวออกไป
拉,lā,拉手," lā shǒu ",จับมือ / จูงมือ,275,我们一起拉手走。,พวกเราจูงมือเดินไปด้วยกัน
举,jǔ,举起," jǔ qǐ ",ยกขึ้น / ชูขึ้น,276,大家举起小手。,ทุกคนยกมือเล็ก ๆ ขึ้น
拍,pāi,拍皮球," pāi pí qiú ",เดาะลูกบอล,277,孩子在拍皮球。,เด็กกำลังเดาะลูกบอล
抓,zhuā,抓住," zhuā zhù ",จับไว้,278,小猫抓住老鼠。,ลูกแมวจับหนูได้
拥,yōng,拥抱," yōng bào ",กอด,279,妈妈给我一个拥抱。,แม่กอดฉันหนึ่งครั้ง
扔,rēng,扔掉," rēng diào ",ทิ้ง / โยนทิ้ง,280,不要乱扔掉垃圾。,อย่าทิ้งขยะเรี่ยราด
寒,hán,寒冷," hán lěng ",หนาวเย็น,281,冬天的早晨很寒冷。,เช้าฤดูหนาวหนาวมาก
冷,lěng,寒冷," hán lěng ",หนาวเย็น,282,寒冷的风吹来了。,ลมหนาวพัดมาแล้ว
温,wēn,温水," wēn shuǐ ",น้ำอุ่น,283,我喝了一杯温水。,ฉันดื่มน้ำอุ่นหนึ่งแก้ว
暖,nuǎn,温暖," wēn nuǎn",อบอุ่น,284,妈妈的手很温暖。,มือของแม่อบอุ่นมาก
热,rè,热水," rè shuǐ ",น้ำร้อน,285,泡茶要用热水。,ชงชาต้องใช้น้ำร้อน
凉,liáng,凉快," liáng kuài ",เย็นสบาย,286,树下很凉快。,ใต้ต้นไม้เย็นสบาย
湿,shī,弄湿," nòng shī ",ทำให้เปียก,287,下雨把衣服弄湿了。,ฝนทำให้เสื้อผ้าเปียก
净,jìng,干净," gān jìng ",สะอาด,288,房间打扫得很干净。,ห้องถูกทำความสะอาดอย่างสะอาดมาก
到,dào,到达," dào dá ",ไปถึง / มาถึง,289,我们安全到达学校。,พวกเราไปถึงโรงเรียนอย่างปลอดภัย
都,dōu,都是," dōu shì ",ทั้งหมด / ต่างก็,290,这些书都是新的。,หนังสือเหล่านี้ล้วนเป็นของใหม่
办,bàn,办法," bàn fǎ ",วิธี / วิธีการ,291,老师有好办法。,ครูมีวิธีที่ดี
渴,kě,口渴," kǒu kě ",กระหายน้ำ,292,运动后会口渴。,หลังออกกำลังกายจะกระหายน้ำ
喝,hē,喝水," hē shuǐ ",ดื่มน้ำ,293,口渴时要喝水。,กระหายน้ำต้องดื่มน้ำ
饿,è,饥饿," jī è ",ความหิว,294,我感到有点饥饿。,ฉันรู้สึกหิวเล็กน้อย
饭,fàn,吃饭," chī fàn ",กินข้าว / รับประทานอาหาร,295,中午我们一起吃饭。,ตอนเที่ยงพวกเรากินข้าวด้วยกัน
睡,shuì,睡觉," shuì jiào",นอนหลับ,296,晚上要早点睡觉。,ตอนกลางคืนควรนอนให้เร็ว
觉,jiào,睡觉," shuì jiào",นอนหลับ,297,小猫在角落睡觉。,ลูกแมวนอนอยู่มุมห้อง
累,lèi,劳累," láo lèi",เหนื่อยล้า,298,一天学习很劳累。,เรียนมาทั้งวันเหนื่อยมาก
醒,xǐng,睡醒," shuì xǐng ",ตื่นนอน,299,我早上睡醒了。,ตอนเช้าฉันตื่นนอนแล้ว
雾,wù,大雾," dà wù ",หมอกหนา,300,早上有大雾。,ตอนเช้ามีหมอกหนา
房,fáng,房子," fáng zǐ ",บ้าน,301,我们住在一所小房子里,พวกเราอาศัยอยู่ในบ้านหลังเล็ก
间,jiān,房间," fáng jiān ",ห้อง,302,我的房间很整洁,ห้องของฉันเป็นระเบียบเรียบร้อยมาก
帘,lián,门帘," mén lián ",ผ้าม่านประตู,303,门上挂着门帘,ที่ประตูมีม่านประตูแขวนอยู่
窗,chuāng,窗户," chuāng hù ",หน้าต่าง,304,窗户外面有阳光,นอกหน้าต่างมีแสงแดด
户,hù,住户," zhù hù ",ผู้อยู่อาศัย,305,这栋楼有很多住户,อาคารหลังนี้มีผู้อยู่อาศัยจำนวนมาก
台,tái,台灯," tái dēng ",โคมไฟตั้งโต๊ะ,306,台灯放在书桌上,โคมไฟตั้งโต๊ะวางอยู่บนโต๊ะเขียนหนังสือ
视,shì,视力," shì lì ",สายตา / การมองเห็น,307,他视力很好,สายตาของเขาดีมาก
床,chuáng,起床," qǐ chuáng ",ตื่นนอน,308,我每天早上起床,ฉันตื่นนอนทุกเช้า
被,bèi,被子," bèi zǐ ",ผ้าห่ม,309,晚上要盖好被子,ตอนกลางคืนต้องห่มผ้าให้เรียบร้อย
处,chù,到处," dào chù",ทุกที่,310,公园里到处是花,ในสวนสาธารณะมีดอกไม้อยู่ทั่วไป
让,ràng,让座," ràng zuò ",สละที่นั่ง,311,我在车上让座给老人,ฉันสละที่นั่งให้ผู้สูงอายุบนรถ
对,duì,对准," duì zhǔn ",เล็ง,312,他把镜头对准目标,เขาปรับเลนส์กล้องให้ตรงกับเป้าหมาย
姐,jiě,姐姐," jiě jiē",พี่สาว,313,姐姐在写作业,พี่สาวกำลังทำการบ้าน
妹,mèi,姐妹," jiě mèi ",พี่สาวน้องสาว,314,她们是好姐妹,พวกเธอเป็นพี่น้องที่ดีต่อกัน
阿,ā,阿姨," ā yí ",น้า / อา (ผู้หญิง),315,阿姨对我很好,ป้าคนนี้ดีกับฉันมาก
姨,yí,阿姨," ā yí ",น้า / อา (ผู้หญิง),316,这位阿姨在买菜,ป้าคนนี้กำลังซื้อผัก
叔,shū,叔叔," shū shū ",ลุง / อา (ผู้ชาย),317,叔叔开车送我,ลุงขับรถไปส่งฉัน
伯,bó,老伯伯," lǎo bó bó ",คุณลุง,318,老伯伯在公园散步,คุณตากำลังเดินเล่นอยู่ในสวน
姑,gū,姑娘," gū niáng ",สาว / เด็กผู้หญิง,319,那位姑娘在唱歌,หญิงสาวคนนั้นกำลังร้องเพลง
亲,qīn,亲爱," qīn ài ",ที่รัก,320,亲爱的妈妈，我爱你,แม่ที่รัก ฉันรักแม่
餐,cān,午餐," wǔ cān ",อาหารกลางวัน,321,我们一起吃午餐,พวกเรากินอาหารกลางวันด้วยกัน
盘,pán,盘子," pán zǐ ",จาน,322,盘子里有水果,ในจานมีผลไม้
碗,wǎn,碗筷," wǎn kuài ",ชามกับตะเกียบ,323,吃饭前准备碗筷,ก่อนกินข้าวต้องเตรียมชามและตะเกียบ
筷,kuài,筷子," kuài zǐ ",ตะเกียบ,324,我会用筷子,ฉันใช้ตะเกียบได้
盖,gài,盖子," gài zǐ ",ฝา / ที่ปิด,325,把瓶子的盖子盖好,ปิดฝาขวดให้เรียบร้อย
袋,dài,口袋," kǒu dài ",กระเป๋าเสื้อ/กางเกง,326,他的口袋里有糖,ในกระเป๋าเสื้อของเขามีลูกอม
巾,jīn,围巾," wéi jīn ",ผ้าพันคอ,327,冬天要戴围巾,ฤดูหนาวต้องใส่ผ้าพันคอ
杯,bēi,杯子," bēi zǐ ",แก้ว,328,杯子里有水,ในแก้วมีน้ำ
成,chéng,成功," chéng gōng ",ความสำเร็จ,329,他终于成功了,ในที่สุดเขาก็ประสบความสำเร็จ
用,yòng,不用," bù yòng ",ไม่ต้อง,330,这个问题不用担心,เรื่องนี้ไม่ต้องกังวล
像,xiàng,好像," hǎo xiàng ",เหมือนว่า,331,天好像要下雨,ดูเหมือนฝนจะตก
原,yuán,原来," yuán lái ",ดั้งเดิม,332,原来你在这里,ที่แท้คุณอยู่ที่นี่
菜,cài,青菜," qīng cài ",ผักใบเขียว,333,我喜欢吃青菜,ฉันชอบกินผัก
萝,luó,萝卜," luó bō ",หัวไชเท้า,334,兔子爱吃萝卜,กระต่ายชอบกินแครอท
卜,bō,萝卜," luó bō",หัวไชเท้า,335,妈妈买了新鲜萝卜,แม่ซื้อแครอทสดมา
豆,dòu,豆子," dòu zǐ ",ถั่ว,336,碗里有豆子,ในชามมีถั่ว
苹,píng,苹果," píng guǒ ",แอปเปิ้ล,337,苹果又甜又脆,แอปเปิลทั้งหวานทั้งกรอบ
桃,táo,桃子," táo zǐ ",ลูกท้อ,338,桃子熟了,ลูกพีชสุกแล้ว
杏,xìng,杏树," xìng shù ",ต้นแอปริคอต,339,院子里有杏树,ในลานบ้านมีต้นแอปริคอต
笋,sǔn,竹笋," zhú sǔn ",หน่อไม้,340,竹笋很好吃,หน่อไม้กินอร่อยมาก
扫,sǎo,扫地," sǎo dì ",กวาดพื้น,341,我帮妈妈扫地,ฉันช่วยแม่กวาดบ้าน
地,dì,草地," cǎo dì ",สนามหญ้า,342,孩子在草地上玩,เด็ก ๆ เล่นอยู่บนสนามหญ้า
拖,tuō,拖地," tuō dì ",ถูพื้น,343,爸爸在拖地,พ่อกำลังถูพื้น
洒,sǎ,洒水," sǎ shuǐ ",สาดน้ำ,344,爷爷给花洒水,คุณปู่รดน้ำต้นไม้
洗,xǐ,洗手," xǐ shǒu ",ล้างมือ,345,吃饭前要洗手,ก่อนกินข้าวต้องล้างมือ
服,fú,衣服," yī fú ",เสื้อผ้า,346,衣服洗干净了,เสื้อผ้าซักสะอาดแล้ว
晒,shài,晒太阳," shài tài yáng ",ตากแดด,347,小猫喜欢晒太阳,ลูกแมวชอบอาบแดด
收,shōu,丰收," fēng shōu ",การเก็บเกี่ยว,348,秋天农民大丰收,ฤดูใบไม้ร่วงชาวนาได้ผลผลิตมาก
全,quán,全国," quán guó ",ทั่วประเทศ,349,全国人民都很努力,ประชาชนทั่วประเทศต่างขยันขันแข็ง
呢,ne,哪儿呢," nǎ ér ne ",ที่ไหนล่ะ,350,你去哪儿呢,คุณจะไปไหน
还,hái,还有," hái yǒu ",ยังมี,351,盒子里还有一个,ในกล่องยังมีอีกหนึ่งชิ้น
谁,shuí,是谁," shì shuí ",คือใคร,352,门外是谁,ใครอยู่นอกประตู
商,shāng,商场," shāng chǎng ",ห้างสรรพสินค้า,353,周末我们去商场,วันหยุดสุดสัปดาห์พวกเราไปห้าง
场,chǎng,广场," guáng chǎng ",จัตุรัส,354,广场上有人跳舞,ที่ลานกว้างมีคนเต้นรำ
楼,lóu,楼上," lóu shàng ",ชั้นบน,355,书房在楼上,ห้องหนังสืออยู่ชั้นบน
街,jiē,街道," jiē dào ",ถนน,356,街道很干净,ถนนสะอาดมาก
理,lǐ,道理," dào lǐ ",เหตุผล,357,老师讲了一个道理,ครูอธิบายหลักการหนึ่งข้อ
店,diàn,店员," diàn yuán ",พนักงานร้าน,358,店员很有礼貌,พนักงานขายสุภาพมาก
鞋,xié,鞋子," xié zǐ ",รองเท้า,359,鞋子放在门口,รองเท้าวางไว้ที่หน้าประตู
市,shì,市场," shì cháng ",ตลาด,360,市场里很热闹,ในตลาดคึกคักมาก
病,bìng,生病," shēng bìng ",ป่วย,361,他昨天生病了,เมื่อวานเขาป่วย
医,yī,医生," yī shēng ",หมอ,362,医生在看病,หมอกำลังตรวจรักษา
院,yuàn,院子," yuàn zǐ ",ลานบ้าน,363,院子里有花,ในลานบ้านมีดอกไม้
护,hù,保护," bǎo hù ",ปกป้อง,364,我们要保护动物,พวกเราต้องปกป้องสัตว์
士,shì,士兵," shì bīng ",ทหาร,365,士兵在站岗,ทหารกำลังยืนยาม
伤,shāng,受伤," shòu shāng ",ได้รับบาดเจ็บ,366,他跑步时受伤了,เขาวิ่งแล้วได้รับบาดเจ็บ
纱,shā,婚纱," hūn shā ",ชุดแต่งงาน,367,新娘穿着婚纱,เจ้าสาวสวมชุดแต่งงาน
布,bù,白布," bái bù ",ผ้าขาว,368,桌上铺着白布,บนโต๊ะปูด้วยผ้าสีขาว
针,zhēn,针头," zhēn tóu ",เข็มฉีดยา,369,打针要用针头,การฉีดยาต้องใช้เข็ม
住,zhù,住房," zhù fáng ",ที่อยู่อาศัย,370,城市里有很多住房,ในเมืองมีที่อยู่อาศัยมากมาย
喂,wèi,喂养," wèi yǎng ",เลี้ยงดู,371,农夫喂养小动物,ชาวนาเลี้ยงสัตว์เล็ก
放,fàng,放学," fàng xué ",เลิกเรียน,372,放学后我回家,หลังเลิกเรียนฉันกลับบ้าน
鸡,jī,小鸡," xiǎo jī ",ลูกเจี๊ยบ,373,小鸡跟着妈妈走,ลูกไก่เดินตามแม่
鸭,yā,野鸭," yě yā ",เป็ดป่า,374,野鸭在河里游,เป็ดป่าว่ายน้ำอยู่ในแม่น้ำ
农,nóng,农夫," nóng fū ",ชาวนา,375,农夫在田里干活,ชาวนากำลังทำงานในนา
夫,fū,农夫," nóng fū ",ชาวนา,376,农夫种庄稼,ชาวนาปลูกพืชผล
猫,māo,小猫," xiǎo māo ",ลูกแมว,377,小猫在睡觉,ลูกแมวกําลังนอนหลับ
狗,gǒu,小狗," xiǎo gǒu ",ลูกสุนัข,378,小狗摇尾巴,ลูกสุนัขส่ายหาง
鼠,shǔ,老鼠," lǎo shǔ ",หนู,379,老鼠跑得很快,หนูวิ่งเร็วมาก
群,qún,羊群," yáng qún ",ฝูงแกะ,380,羊群在山上吃草,ฝูงแกะกินหญ้าอยู่บนภูเขา
汽,qì,水汽," shuǐ qì ",ไอน้ำ,381,热水有水汽,น้ำร้อนมีไอน้ำ
行,xíng,人行道," rén xíng dào ",ทางเดินเท้า,382,人行道上很安全,ทางเท้าปลอดภัยมาก
交,jiāo,交叉," jiāo chā ",ตัดกัน,383,两条路在这里交叉,ถนนสองสายตัดกันตรงนี้
装,zhuāng,装进," zhuāng jìn ",ใส่เข้าไป,384,把书装进书包,ใส่หนังสือลงในกระเป๋านักเรียน
甲,jiǎ,装甲车," zhuāng jiǎ chē ",รถหุ้มเกราะ,385,装甲车在路上行驶,รถหุ้มเกราะวิ่งอยู่บนถนน
机,jī,机器," jī qì ",เครื่องจักร,386,机器开始工作了,เครื่องจักรเริ่มทำงานแล้ว
宇,yǔ,宇宙," yǔ zhòu ",จักรวาล,387,宇宙非常大,จักรวาลกว้างใหญ่มาก
宙,zhòu,宇宙," yǔ zhòu ",จักรวาล,388,宇宙里有星星,ในจักรวาลมีดวงดาว
船,chuán,小船," xiǎo chuán ",เรือเล็ก,389,小船在水上漂,เรือลำเล็กลอยอยู่บนผิวน้ำ
化,huà,变化," biàn huà ",การเปลี่ยนแปลง,390,天气有变化,อากาศมีการเปลี่ยนแปลง
官,guān,当官," dāng guān ",เป็นข้าราชการ,391,他长大想当官,เขาโตขึ้นอยากเป็นข้าราชการ
该,gāi,应该," yīng gāi ",ควร,392,我们应该守规则,พวกเราควรเคารพกฎ
科,kē,科学," kē xué ",วิทยาศาสตร์,393,科学让生活更好,วิทยาศาสตร์ทำให้ชีวิตดีขึ้น
程,chéng,工程," gōng chéng ",วิศวกรรม,394,工程正在进行,โครงการกำลังดำเนินการ
航,háng,航行," háng xíng ",เดินเรือ,395,船在海上航行,เรือแล่นอยู่ในทะเล
员,yuán,服务员," fú wù yuán ",พนักงานบริการ,396,服务员送来了菜,พนักงานเสิร์ฟนำอาหารมา
司,sī,司机," sī jī ",คนขับรถ,397,司机开车很稳,คนขับรถขับอย่างมั่นคง
舞,wǔ,舞蹈," wǔ dǎo ",การเต้นรำ,398,她喜欢舞蹈,เธอชอบการเต้นรำ
军,jūn,军车," jūn chē ",รถทหาร,399,军车从路上经过,รถทหารขับผ่านถนน
银,yín,银子," yín zǐ",เงิน,400,盒子里有银子,ในกล่องมีเงิน
客,kè,客人,kè rén,แขก,401,客人来到家里做客,แขกมาเยี่ยมบ้าน
壳,ké,贝壳,bèi ké,เปลือกหอย,402,沙滩上有漂亮的贝壳,บนชายหาดมีเปลือกหอยสวยงาม
救,jiù,求救,qiú jiù,ขอความช่วยเหลือ,403,小船发出求救信号,เรือลำเล็กส่งสัญญาณขอความช่วยเหลือ
板,bǎn,木板,mù bǎn,แผ่นไม้,404,木板放在地上,แผ่นไม้ถูกวางไว้บนพื้น
加,jiā,加油,jiā yóu,ให้กำลังใจ,405,比赛前大家一起加油,ก่อนการแข่งขันทุกคนช่วยกันให้กำลังใจ
油,yóu,汽油,qì yóu,น้ำมันรถ,406,汽车需要汽油才能走,รถยนต์ต้องใช้น้ำมันถึงจะวิ่งได้
修,xiū,修理,xiū lǐ,ซ่อมแซม,407,叔叔在修理自行车,ลุงกำลังซ่อมจักรยาน
轮,lún,车轮,chē lún,ล้อรถ,408,车轮慢慢地转动,ล้อรถหมุนช้า ๆ
始,shǐ,开始,kāi shǐ,เริ่มต้น,409,游戏现在开始了,เกมเริ่มขึ้นแล้ว
离,lí,远离,yuǎn lí,ห่างออกไป,410,我们要远离危险,พวกเราต้องอยู่ห่างจากอันตราย
遇,yù,遇见,yù jiàn,พบเจอ,411,我在路上遇见老师,ฉันพบครูบนถนน
别,bié,别动,bié dòng,อย่าขยับ,412,医生说别动,หมอบอกว่าอย่าขยับ
海,hǎi,大海,dà hǎi,ทะเลใหญ่,413,大海又大又蓝,ทะเลกว้างใหญ่และสีฟ้า
洋,yáng,洋气,yáng qì,ดูดี / ทันสมัย,414,她穿得很洋气,เธอแต่งตัวทันสมัย
流,liú,流水,liú shuǐ,สายน้ำ,415,山间有清清的流水,ในหุบเขามีน้ำใสไหล
浪,làng,浪花,làng huā,ฟองคลื่น,416,浪花拍打着岸边,คลื่นซัดกระทบฝั่ง
波,bō,波浪,bō làng,คลื่นน้ำ,417,波浪一高一低,คลื่นสูงต่ำสลับกัน
潮,cháo,潮水,cháo shuǐ,น้ำทะเลหนุน,418,潮水慢慢上涨,น้ำทะเลค่อย ๆ สูงขึ้น
雷,léi,雷声,léi shēng,เสียงฟ้าร้อง,419,远处传来雷声,ได้ยินเสียงฟ้าร้องมาจากไกล
乌,wū,乌鸦,wū yā,อีกา,420,树上站着一只乌鸦,บนต้นไม้มีอีกาตัวหนึ่งเกาะอยู่
底,"dǐ ",底下,"dǐ xià ",ข้างล่าง,421,石头底下有小虫,ใต้ก้อนหินมีแมลงตัวเล็ก
虾," xiā ",龙虾," lóng xiā ",กุ้งมังกร,422,龙虾住在海里,กุ้งมังกรอาศัยอยู่ในทะเล
丑," chǒu ",小丑," xiǎo chǒu ",ตัวตลก,423,小丑在表演节目,ตัวตลกกำลังแสดง
斑," bān ",斑纹," bān wén ",ลายจุด / ลายเส้น,424,小鱼身上有斑纹,บนตัวปลาตัวเล็กมีลายจุด
带," dài ",飘带," piāo dài ",ริบบิ้น / สายผ้า,425,彩色的飘带在飞,ริบบิ้นสีสันปลิวไหว
宫," gōng ",宫殿," gōng diàn ",พระราชวัง,426,宫殿看起来很大,พระราชวังดูใหญ่โตมาก
美," měi ",美丽," měi lì ",สวยงาม,427,这幅画很美丽,ภาพวาดนี้สวยงามมาก
柱," zhù ",柱子," zhù zǐ ",เสา,428,大厅里有高高的柱子,ในห้องโถงมีเสาสูง
矿," kuàng ",矿石," kuàng shí ",แร่หิน,429,地里发现了矿石,พบแร่ในพื้นดิน
完," wán ",完成," wán chéng ",เสร็จสิ้น,430,作业已经完成,การบ้านเสร็จเรียบร้อยแล้ว
挖," wā ",挖土," wā tǔ ",ขุดดิน,431,他在院子里挖土,เขากำลังขุดดินในลานบ้าน
就," jiù ",就是," jiù shì ",ก็คือ,432,这就是答案,นี่คือคำตอบ
岩," yán ",岩石," yán shí ",หิน,433,山上有很多岩石,บนภูเขามีหินมากมาย
沙," shā ",沙子," shā zǐ ",ทราย,434,孩子们在玩沙子,เด็ก ๆ กำลังเล่นทราย
滩," tān ",沙滩," shā tān ",ชายหาด,435,我们一起去沙滩,พวกเราไปชายหาดด้วยกัน
鸥," ōu ",海鸥," hǎi ōu ",นกนางนวล,436,海鸥在天空飞,นกนางนวลบินอยู่บนท้องฟ้า
瓶," píng ",瓶子," píng zǐ ",ขวด,437,桌上放着一个瓶子,บนโต๊ะมีขวดหนึ่งใบ
珠," zhū ",珠宝," zhū bǎo ",อัญมณี,438,盒子里有珠宝,ในกล่องมีอัญมณี
金," jīn ",金币," jīn bì ",เหรียญทอง,439,箱子里有金币,ในหีบมีเหรียญทอง
骨," gǔ",骨头," gǔ tóu",กระดูก,440,小狗在啃骨头,ลูกสุนัขกำลังแทะกระดูก
帆,fān,帆船,fān chuán,เรือใบ,441,我们住在一所小房子,พวกเราอาศัยอยู่ในบ้านหลังเล็ก
游,yóu,游泳,yóu yǒng,ว่ายน้ำ,442,我的房间很整,ห้องของฉันเป็นระเบียบ
冲,chōng,冲水,chōng shuǐ,ราดน้ำ / ฉีดน้ำ,443,门上挂着门,ที่ประตูแขวนประตู
划,huá,划开,huá kāi,กรีดออก / ทำให้ขาดออก,444,窗户外面有阳,นอกหน้าต่างมีแสงแดด
钓,diào,钓鱼,diào yú,ตกปลา,445,这栋楼有很多住,อาคารหลังนี้มีผู้อยู่อาศัยมาก
钩,gōu,鱼钩,yú gōu,เบ็ดตกปลา,446,台灯放在书桌,โคมไฟตั้งโต๊ะวางอยู่บนโต๊ะเขียนหนังสือ
篮,lán,篮子,lán zi,ตะกร้า,447,他视力很,สายตาของเขาดี
网,wǎng,渔网,yú wǎng,อวน / แห,448,我每天早上起,ฉันตื่นตอนเช้าทุกวัน
最,zuì,最长,zuì cháng,ยาวที่สุด,449,晚上要盖好被,ตอนกลางคืนต้องห่มผ้าให้ดี
得,dé,得到,dé dào,ได้รับ,450,公园里到处是,ในสวนสาธารณะมีอยู่ทั่วไป
梦,mèng,梦乡,mèng xiāng,แดนชวนฝัน / นิทรา,451,我在车上让座给老,ฉันสละที่นั่งให้ผู้สูงอายุบนรถ
森,sēn,森林,sēn lín,ป่าไม้,452,他把镜头对准目,เขาปรับเลนส์ให้ตรงกับเป้าหมาย
植,zhí,植树,zhí shù,ปลูกต้นไม้,453,姐姐在写作,พี่สาวกำลังเขียนการบ้าน
树,shù,树木,shù mù,ต้นไม้,454,她们是好姐,พวกเธอเป็นพี่น้องที่ดี
泥,ní,泥泞,ní nìng,โคลนตม,455,阿姨对我很,ป้าดีกับฉัน
春,chūn,春天,chūn tiān,ฤดูใบไม้ผลิ,456,这位阿姨在买,ป้าคนนี้กำลังซื้อของ
夏,xià,夏天,xià tiān,ฤดูร้อน,457,叔叔开车送,ลุงขับรถไปส่ง
秋,qiū,秋天,qiū tiān,ฤดูใบไม้ร่วง,458,老伯伯在公园散,คุณตากำลังเดินเล่นในสวน
冬,dōng,冬天,dōng tiān,ฤดูหนาว,459,那位姑娘在唱,หญิงสาวคนนั้นกำลังร้องเพลง
季,jì,四季,sì jì,สี่ฤดู,460,亲爱的妈妈，我爱,แม่ที่รัก ฉันรัก
熊,xióng,狗熊,gǒu xióng,หมี,461,我们一起吃午,พวกเรากินมื้อกลางวันด้วยกัน
猴,hóu,猴子,hóu zi,ลิง,462,盘子里有水,ในจานมีน้ำ
鹿,lù,小鹿,xiǎo lù,กวางน้อย,463,吃饭前准备碗,ก่อนกินข้าวเตรียมชาม
虎,hǔ,老虎,lǎo hǔ,เสือ,464,我会用筷,ฉันใช้ตะเกียบได้
狮,shī,狮子,shī zi,สิงโต,465,把瓶子的盖子盖,ปิดฝาขวดให้สนิท
狐,hú,狐狸,hú li,สุนัขจิ้งจอก,466,他的口袋里有,ในกระเป๋าเสื้อของเขามี
狸,lí,河狸,hé lí,บีเวอร์,467,冬天要戴围,ฤดูหนาวต้องใส่ผ้าพันคอ
狼,láng,大灰狼,dà huī láng,หมาป่าสีเทา,468,杯子里有,ในแก้วมี
